Date,XGBoost_Value,XGBoost_Return,LSTM_Value,Ensemble_Value,SPY_Value
2024-01-02,98163.64726411372,-0.018363527358862812,104235.23381741896,102631.8586659655,101385.65952525003
2024-01-08,99215.9049823388,0.01071942361100257,104235.23381741896,102631.8586659655,101385.65952525003
2024-01-16,100626.48862070826,0.014217313631524755,104235.23381741896,102631.8586659655,101385.65952525003
2024-01-22,100323.37462619627,-0.003012268426204626,104235.23381741896,102631.8586659655,101385.65952525003
2024-01-29,100604.24754969892,0.002799675793893251,104235.23381741896,102631.8586659655,101385.65952525003
2024-02-05,104064.8392774463,0.0343980677956746,105126.48814513443,105392.91831369147,101385.65952525003
2024-02-12,103831.69209516616,-0.0022404030400561123,108548.50485903882,104876.38940673936,101385.65952525003
2024-02-20,107968.5546844125,0.03984200301247852,109572.3476949722,106723.704332213,101043.79611727379
2024-02-26,109084.79347154785,0.010338554502262821,109672.63847706304,107191.6677897715,102730.85869822929
2024-03-04,107413.93290114339,-0.015317080568523638,109093.13859277758,105149.40774234642,103742.27894262601
2024-03-11,106316.6130955192,-0.010215805119379352,108507.62551244417,104727.91419815668,103513.69946030091
2024-03-18,108068.59661462948,0.016478925241309277,109198.24208812202,105687.09877112621,103451.8196657555
2024-03-25,108548.84906705533,0.004443959369051841,109891.57060551549,106672.52732868078,105760.97597758309
2024-04-01,105993.66561277356,-0.023539479932240596,109835.54329275056,105381.78421006375,106138.38452617991
2024-04-08,104922.04624363314,-0.010110220860323402,110052.18315635814,106089.43403868946,105196.87794865256
2024-04-15,100193.24759061052,-0.04506963810105434,105388.71014860636,101404.81305184035,103658.78992929433
2024-04-22,106089.41448388202,0.05884794669360577,108136.99170968626,105612.22827628096,100475.0738673442
2024-04-29,107907.25358221552,0.017134971544306855,111831.05333185777,107680.4467643353,103133.2418357512
2024-05-06,107456.41741658715,-0.00417799685064589,113678.88397390445,107937.2831666298,103748.07977799691
2024-05-13,109369.8682634806,0.017806761968206936,116375.56788233283,110123.98793150634,105685.92569313342
2024-05-20,111224.25396663285,0.01695517908721334,115527.34721203952,110067.10885690167,107432.98928116962
2024-05-28,108657.94666357353,-0.023073270546091592,113528.29082882537,108864.74166718003,107430.97765014677
2024-06-03,111154.31729728729,0.022974579498018795,115540.14622717246,111343.63606301812,107010.93897116336
2024-06-10,114990.91286598453,0.03451593839973033,115335.00884041445,111669.74311398015,108358.30159637475
2024-06-17,114505.76637623826,-0.0042189985074009475,114648.15544530941,111685.6307253508,110137.87390084611
2024-06-24,117555.90013001655,0.026637381245554946,115619.8999875822,114671.63174730599,110845.33543251462
2024-07-01,124419.44256057723,0.05838535048406403,117886.70918950455,120448.3985617739,110786.30228564303
2024-07-08,124483.89999178411,0.0005180655842875214,117791.32196532887,120232.27878037519,112907.4976145093
2024-07-15,120803.16801910882,-0.029567935876994588,118527.85910830752,117584.1097607991,113996.57440744818
2024-07-22,115949.12383966014,-0.040181431158170036,117727.45404558704,115194.34950218936,111757.32543660619
2024-07-29,113644.52243023973,-0.019875970883638017,118765.79771735259,113406.63314022581,110831.08954237799
2024-08-05,117866.70367113268,0.03715252746549876,121824.9549838439,116560.4317912055,108481.92201602372
2024-08-12,120306.04620997474,0.020695772961024025,125489.28702846156,118972.74002379521,108500.21647174086
2024-08-19,120897.4566309459,0.004915882780645721,126671.98219308243,119523.00618146388,112840.32938117419
2024-08-26,122275.42597440006,0.011397835668789897,127919.62131003085,120121.0299472184,114432.21271568413
2024-09-03,119620.74657098067,-0.021710653487931237,125021.56229879055,117098.75248842651,114747.76044738671
2024-09-09,122720.20471500578,0.0259107072382794,127717.91911586297,118461.4331180031,110000.513661758
2024-09-16,125627.87662045647,0.02369350598952475,128048.76816693821,122255.36179501633,114407.79480452639
2024-09-23,126596.05558822602,0.007706720783752472,130207.95028167027,122134.96176267102,116032.88902856439
2024-09-30,126066.75601202375,-0.0041810115942624146,131358.15088291367,120736.50960517785,116690.37607884782
2024-10-07,129820.37973142466,0.029774889416864923,133583.42142235,124331.42582725029,116998.71230311
2024-10-14,130871.91272814156,0.008099906955227953,129162.84520081615,125338.49880806185,118346.39122250739
2024-10-21,130562.51056749561,-0.00236416014862301,127427.9320521919,125042.17852409158,119369.40048587848
2024-10-28,127338.9460489285,-0.02468981719603707,126011.61273364432,123597.28845049771,118236.1184175068
2024-11-04,138453.37215568448,0.08728222159531138,135788.23867640112,127972.2243535438,116602.57281281939
2024-11-11,138155.2111409418,-0.00215351211819815,129980.8527125511,126493.29130956974,122146.42548349361
2024-11-18,138220.0422557539,0.0004692628984222457,132828.18956779555,126552.64991808064,119606.25422410884
2024-11-25,140340.55233980302,0.015341552856172839,132258.28946590918,128021.56364704182,121599.18593467587
2024-12-02,142705.9099446913,0.016854412822610715,135138.51616496287,130179.2919309452,123036.71770642683
2024-12-09,140936.61120187514,-0.012398216328264582,131653.42193769992,129493.56162419799,124110.7641996479
2024-12-16,140678.8400172114,-0.0018289866803632897,127669.17335121568,127867.2935758449,123375.68385965949
