Week,XGBoost_Holdings
1,"AAPL, MSFT, GOOGL, TSLA, JPM"
2,"MSFT, TSLA, GOOGL, NVDA, AMZN"
3,"TSLA, NVDA, MSFT, JNJ, GOOGL"
4,"TSLA, NVDA, GOOGL, AMZN, MSFT"
5,"TSLA, NVDA, JNJ, GOOGL, AMZN"
6,"TSLA, JNJ, NVDA, AMZN, GOOGL"
7,"JNJ, NVDA, AAPL, GOOGL, TSLA"
8,"JNJ, MSFT, AAPL, NVDA, GOOGL"
9,"MSFT, GOOGL, JNJ, NVDA, AAPL"
10,"GOOGL, MSFT, AAPL, TSLA, NVDA"
11,"MSFT, TSLA, NVDA, JNJ, AAPL"
12,"MSFT, JNJ, GOOGL, TSLA, NVDA"
13,"MSFT, JNJ, GOOGL, AAPL, AMZN"
14,"JNJ, MSFT, AAPL, GOOGL, TSLA"
15,"JNJ, MSFT, GOOGL, AAPL, JPM"
16,"JNJ, MSFT, TSLA, JPM, NVDA"
17,"JNJ, MSFT, TSLA, GOOGL, AAPL"
18,"JNJ, GOOGL, MSFT, NVDA, META"
19,"JNJ, GOOGL, MSFT, NVDA, AMZN"
20,"JNJ, MSFT, NVDA, AMZN, GOOGL"
21,"NVDA, JNJ, MSFT, GOOGL, AAPL"
22,"JNJ, NVDA, MSFT, AMZN, GOOGL"
23,"JNJ, MSFT, NVDA, AMZN, AAPL"
24,"JNJ, MSFT, NVDA, JPM, AAPL"
25,"JNJ, NVDA, AAPL, GOOGL, AMZN"
26,"JNJ, GOOGL, AAPL, NVDA, TSLA"
27,"JNJ, AAPL, GOOGL, TSLA, NVDA"
28,"JNJ, AAPL, NVDA, TSLA, AMZN"
29,"JPM, JNJ, TSLA, NVDA, AAPL"
30,"JPM, MSFT, JNJ, TSLA, GOOGL"
31,"JPM, MSFT, NVDA, AAPL, JNJ"
32,"JPM, MSFT, GOOGL, NVDA, AMZN"
33,"AAPL, JPM, GOOGL, JNJ, MSFT"
34,"AAPL, JPM, JNJ, MSFT, NVDA"
35,"JPM, TSLA, AAPL, MSFT, JNJ"
36,"MSFT, GOOGL, AAPL, TSLA, JPM"
37,"MSFT, AAPL, GOOGL, JPM, TSLA"
38,"AAPL, MSFT, JPM, TSLA, NVDA"
39,"AAPL, JPM, MSFT, TSLA, GOOGL"
40,"JPM, AAPL, NVDA, GOOGL, MSFT"
41,"JPM, AAPL, NVDA, MSFT, GOOGL"
42,"AAPL, JPM, GOOGL, NVDA, JNJ"
43,"MSFT, AAPL, JPM, JNJ, GOOGL"
44,"MSFT, AAPL, JPM, GOOGL, TSLA"
45,"JNJ, MSFT, JPM, AAPL, TSLA"
46,"JNJ, AAPL, JPM, AMZN, MSFT"
47,"AAPL, AMZN, MSFT, JPM, JNJ"
48,"MSFT, AAPL, AMZN, JNJ, NVDA"
49,"JNJ, AAPL, AMZN, MSFT, JPM"
50,"JNJ, AMZN, AAPL, JPM, NVDA"
51,"JNJ, JPM, AAPL, NVDA, AMZN"
